NAME;LON;LAT;F_MHZ;CHANNEL;H_TRAN;POLARIZ;ERP_0;ERP_10;ERP_20;ERP_30;ERP_40;ERP_50;ERP_60;ERP_70;ERP_80;ERP_90;ERP_100;ERP_110;ERP_120;ERP_130;ERP_140;ERP_150;ERP_160;ERP_170;ERP_180;ERP_190;ERP_200;ERP_210;ERP_220;ERP_230;ERP_240;ERP_250;ERP_260;ERP_270;ERP_280;ERP_290;ERP_300;ERP_310;ERP_320;ERP_330;ERP_340;ERP_350
N.Akmenė;22,871389;56,318056;762;57;48;H;28,4;28,1;27,4;26,1;25,4;25,4;26,1;26,9;28,1;28,4;28,1;27,4;26,1;25,4;25,4;26,1;26,9;28,1;28,4;28,1;27,4;26,1;25,4;25,4;26,1;26,9;28,1;28,4;28,1;27,4;26,1;25,4;25,4;26,1;26,9;28,1
N.Akmenė;22,871389;56,318056;810;63;48;H;28,7;28,4;27,7;26,4;25,7;25,7;26,4;27,2;28,4;28,7;28,4;27,7;26,4;25,7;25,7;26,4;27,2;28,4;28,7;28,4;27,7;26,4;25,7;25,7;26,4;27,2;28,4;28,7;28,4;27,7;26,4;25,7;25,7;26,4;27,2;28,4
Panevėžys (Pažagieniai);24,398889;55,698889;546;30;104;H;38,5;38,0;36,8;36,8;38,5;38,5;36,8;36,8;38,0;38,5;38,0;36,8;36,8;38,5;38,5;36,8;36,8;38,0;38,5;38,0;36,8;36,8;38,5;38,5;36,8;36,8;38,0;38,5;38,0;36,8;36,8;38,5;38,5;36,8;36,8;38,0
Panevėžys (Pažagieniai);24,398889;55,698889;594;36;104;H;38,5;38,0;36,8;36,8;38,5;38,5;36,8;36,8;38,0;38,5;38,0;36,8;36,8;38,5;38,5;36,8;36,8;38,0;38,5;38,0;36,8;36,8;38,5;38,5;36,8;36,8;38,0;38,5;38,0;36,8;36,8;38,5;38,5;36,8;36,8;38,0
Panevėžys (Pažagieniai);24,385556;55,700278;770;58;104;H;39,4;38,9;37,8;37,3;39,3;39,3;36,8;36,8;38,7;39,4;38,9;37,8;37,2;39,3;39,3;36,8;36,8;38,7;39,3;38,9;37,8;37,2;39,3;39,3;36,8;36,8;38,7;39,3;39,0;37,8;37,2;39,3;39,3;36,8;36,8;38,7
Panevėžys (Pažagieniai);24,385556;55,700278;802;62;104;H;38,8;38,6;37,4;37,1;38,9;38,9;36,4;36,8;38,4;38,8;38,6;37,4;37,1;38,9;38,9;36,4;36,8;38,4;38,8;38,6;37,4;37,1;38,9;38,9;36,4;36,8;38,4;38,8;38,6;37,4;37,1;38,9;38,9;36,4;36,8;38,4
Plungė;21,874167;55,940278;594;36;110;H;27,4;27,1;26,4;25,1;24,4;24,4;25,1;25,9;27,1;27,4;27,1;26,4;25,1;24,4;24,4;25,1;25,9;27,1;27,4;27,1;26,4;25,1;24,4;24,4;25,1;25,9;27,1;27,4;27,1;26,4;25,1;24,4;24,4;25,1;25,9;27,1
Plungė;21,874167;55,940278;610;38;110;H;27,8;27,5;26,8;25,5;24,8;24,8;25,5;26,3;27,5;27,8;27,5;26,8;25,5;24,8;24,8;25,5;26,3;27,5;27,8;27,5;26,8;25,5;24,8;24,8;25,5;26,3;27,5;27,8;27,5;26,8;25,5;24,8;24,8;25,5;26,3;27,5
Plungė;21,874167;55,940278;786;60;110;H;27,7;27,4;26,7;25,4;24,7;24,7;25,4;26,2;27,4;27,7;27,4;26,7;25,4;24,7;24,7;25,4;26,2;27,4;27,7;27,4;26,7;25,4;24,7;24,7;25,4;26,2;27,4;27,7;27,4;26,7;25,4;24,7;24,7;25,4;26,2;27,5
Raseiniai;23,137222;55,366111;594;36;102;H;28,5;28,5;28,3;27,5;26,5;26,5;27,5;28,3;28,5;28,5;28,5;28,3;27,5;26,5;26,5;27,5;28,3;28,5;28,5;28,5;28,3;27,5;26,5;26,5;27,5;28,3;28,5;28,5;28,5;28,3;27,5;26,5;26,5;27,5;28,3;28,5
Raseiniai;23,137222;55,366111;794;61;100;H;28,6;28,3;27,6;26,3;25,6;25,6;26,3;27,1;28,3;28,6;28,3;27,6;26,3;25,6;25,6;26,3;27,1;28,3;28,6;28,3;27,6;26,3;25,6;25,6;26,3;27,1;28,3;28,6;28,3;27,6;26,3;25,6;25,6;26,3;27,1;28,3
Raseiniai;23,137222;55,366111;810;63;100;H;28,7;28,4;27,7;26,4;25,7;25,7;26,4;27,2;28,4;28,7;28,4;27,7;26,4;25,7;25,7;26,4;27,2;28,4;28,7;28,4;27,7;26,4;25,7;25,7;26,4;27,2;28,4;28,7;28,4;27,7;26,4;25,7;25,7;26,4;27,2;28,4
Rokiškis;25,585833;55,943056;594;36;105;H;30,0;28,7;25,5;26,0;29,5;30,2;26,5;25,1;27,5;30,0;28,7;25,5;25,5;29,5;30,2;26,5;25,1;27,5;29,8;28,5;25,5;25,5;29,5;30,2;26,5;25,1;27,5;30,0;28,7;25,8;25,5;29,5;30,2;26,5;25,1;27,5
Rokiškis;25,585833;55,943056;738;54;100;H;29,9;29,4;27,9;27,8;30,1;30,2;27,4;26,9;28,9;29,9;29,4;27,9;27,8;30,1;30,2;27,4;26,9;28,9;29,9;29,4;27,9;27,8;30,1;30,2;27,4;26,9;28,9;29,9;29,4;27,9;27,8;30,1;30,2;27,4;26,9;28,9
Rokiškis;25,585833;55,943056;794;61;100;H;30,1;29,8;28,6;28,4;30,6;30,7;27,9;27,7;29,4;30,1;29,8;28,6;28,4;30,6;30,7;27,9;27,7;29,4;30,1;29,8;28,6;28,4;30,6;30,7;27,9;27,7;29,4;30,1;29,8;28,6;28,4;30,6;30,7;27,9;27,7;29,4
